instruction,intent,category,tags,response,conversation
"I'd like information about my checked baggage allowance, how can I find it?",check_baggage_allowance,BAGGAGE,BCIP,"To retrieve your checked baggage allowance details, please follow these instructions:

1. Visit {{WEBSITE_URL}} or launch the {{APP_NAME}} application.
2. Log in to your personal account.
3. Select the {{BOOKINGS_OPTION}} section.
4. Enter the required booking or flight information.
5. The specific baggage allowance for your trip will be displayed.

Should you require additional help, do not hesitate to contact customer support via the {{APP_NAME}} app or on {{WEBSITE_URL}}.","Query: I'd like information about my checked baggage allowance, how can I find it?
Response: To retrieve your checked baggage allowance details, please follow these instructions:

1. Visit the airline's website or launch the the mobile app application.
2. Log in to your personal account.
3. Select the Bookings section.
4. Enter the required booking or flight information.
5. The specific baggage allowance for your trip will be displayed.

Should you require additional help, do not hesitate to contact customer support via the the mobile app app or on the airline's website."
i have to see the fucking checked baggage allowance can i get some help,check_baggage_allowance,BAGGAGE,BCIQW,"To determine your checked baggage allowance, please follow these instructions: 

1. Go to {{WEBSITE_URL}} or launch the {{APP_NAME}} app. 
2. Log in to your account. 
3. Select the {{BOOKINGS_OPTION}} section. 
4. Enter the relevant booking or flight details. 
5. You will then see your checked baggage allowance information. 

If you need further help, contact our customer service via the {{APP_NAME}} app or visit {{WEBSITE_URL}} for more support.","Query: i have to see the fucking checked baggage allowance can i get some help
Response: To determine your checked baggage allowance, please follow these instructions: 

1. Go to the airline's website or launch the the mobile app app. 
2. Log in to your account. 
3. Select the Bookings section. 
4. Enter the relevant booking or flight details. 
5. You will then see your checked baggage allowance information. 

If you need further help, contact our customer service via the the mobile app app or visit the airline's website for more support."
"I want to know about my checked baggage allowance, where can I find more information?",check_baggage_allowance,BAGGAGE,BCI,"To find details regarding your checked baggage allowance, please follow these steps:

1. Visit {{WEBSITE_URL}} or access the {{APP_NAME}} application.
2. Log into your personal account.
3. Select the {{BOOKINGS_OPTION}} section.
4. Enter your booking reference or flight information.
5. Your baggage allowance will be displayed accordingly.

For additional help, reach out to our customer support team available via the {{APP_NAME}} app or on {{WEBSITE_URL}}.","Query: I want to know about my checked baggage allowance, where can I find more information?
Response: To find details regarding your checked baggage allowance, please follow these steps:

1. Visit the airline's website or access the the mobile app application.
2. Log into your personal account.
3. Select the Bookings section.
4. Enter your booking reference or flight information.
5. Your baggage allowance will be displayed accordingly.

For additional help, reach out to our customer support team available via the the mobile app app or on the airline's website."
wanna know about my checked carry-on baggage allowance could ugive me some information,check_baggage_allowance,BAGGAGE,BCILQZ,"To find out your check-in baggage allowance, please follow these instructions: 

1. Visit {{WEBSITE_URL}} or use the {{APP_NAME}} application. 
2. Log in to your personal account. 
3. Locate and select the {{BOOKINGS_OPTION}} option. 
4. Input your reservation details or specific flight information. 
5. Your baggage allowance details will then be available. 

If you require additional assistance, kindly reach out to our customer support team via the {{APP_NAME}} app or on {{WEBSITE_URL}}.","Query: wanna know about my checked carry-on baggage allowance could ugive me some information
Response: To find out your check-in baggage allowance, please follow these instructions: 

1. Visit the airline's website or use the the mobile app application. 
2. Log in to your personal account. 
3. Locate and select the Bookings option. 
4. Input your reservation details or specific flight information. 
5. Your baggage allowance details will then be available. 

If you require additional assistance, kindly reach out to our customer support team via the the mobile app app or on the airline's website."
How to check the checked carry-on baggage allowance?,check_baggage_allowance,BAGGAGE,BILWZ,"To access your checked baggage allowance details, please follow these steps:

1. Go to {{WEBSITE_URL}} or launch the {{APP_NAME}} application.
2. Log into your account.
3. Select the {{BOOKINGS_OPTION}} section.
4. Enter your flight information or booking reference.
5. The information regarding your baggage allowance will be displayed.

If you require further support, please contact our customer service team via the {{APP_NAME}} app or at {{WEBSITE_URL}}.","Query: How to check the checked carry-on baggage allowance?
Response: To access your checked baggage allowance details, please follow these steps:

1. Go to the airline's website or launch the the mobile app application.
2. Log into your account.
3. Select the Bookings section.
4. Enter your flight information or booking reference.
5. The information regarding your baggage allowance will be displayed.

If you require further support, please contact our customer service team via the the mobile app app or at the airline's website."
"I would like information about my checked carry-on baggage allowance, how could I get it?",check_baggage_allowance,BAGGAGE,BCILPZ,"To access details regarding your checked baggage allowance, please follow these instructions:

1. Visit {{WEBSITE_URL}} or launch the {{APP_NAME}} application.
2. Log in to your personal account.
3. Locate and select the {{BOOKINGS_OPTION}} option.
4. Enter your flight details or booking reference.
5. Your baggage allowance details will be displayed.

Should you require additional assistance, please reach out to our customer support via the {{APP_NAME}} app or at {{WEBSITE_URL}}.","Query: I would like information about my checked carry-on baggage allowance, how could I get it?
Response: To access details regarding your checked baggage allowance, please follow these instructions:

1. Visit the airline's website or launch the the mobile app application.
2. Log in to your personal account.
3. Locate and select the Bookings option.
4. Enter your flight details or booking reference.
5. Your baggage allowance details will be displayed.

Should you require additional assistance, please reach out to our customer support via the the mobile app app or at the airline's website."
"I'm looking for information about my checked baggage allowance, can I get some help?",check_baggage_allowance,BAGGAGE,BCI,"To determine your checked baggage allowance, please follow these instructions:

1. Go to {{WEBSITE_URL}} or access the {{APP_NAME}} app.
2. Log into your account.
3. Select the {{BOOKINGS_OPTION}} section.
4. Enter your booking reference or flight information.
5. The specific baggage allowance details will be displayed.

Should you need additional support, reach out to our customer service through the {{APP_NAME}} app or visit {{WEBSITE_URL}}.","Query: I'm looking for information about my checked baggage allowance, can I get some help?
Response: To determine your checked baggage allowance, please follow these instructions:

1. Go to the airline's website or access the the mobile app app.
2. Log into your account.
3. Select the Bookings section.
4. Enter your booking reference or flight information.
5. The specific baggage allowance details will be displayed.

Should you need additional support, reach out to our customer service through the the mobile app app or visit the airline's website."
"I want to see the checked carry-on baggage allowance, help me",check_baggage_allowance,BAGGAGE,BCLZ,"To determine your checked baggage allowance, please follow these instructions:

1. Visit {{WEBSITE_URL}} or use the {{APP_NAME}} application.
2. Log into your personal account.
3. Select the {{BOOKINGS_OPTION}} section.
4. Enter the required booking or flight information.
5. The specific baggage allowance details will be displayed.

Should you need additional support, reach out to our customer service through the {{APP_NAME}} application or at {{WEBSITE_URL}}.","Query: I want to see the checked carry-on baggage allowance, help me
Response: To determine your checked baggage allowance, please follow these instructions:

1. Visit the airline's website or use the the mobile app application.
2. Log into your personal account.
3. Select the Bookings section.
4. Enter the required booking or flight information.
5. The specific baggage allowance details will be displayed.

Should you need additional support, reach out to our customer service through the the mobile app application or at the airline's website."
i hav to check the checked carry-on baggage allowance where can i do it,check_baggage_allowance,BAGGAGE,BCILQZ,"To check your checked carry-on baggage allowance, please follow these instructions:

1. Visit {{WEBSITE_URL}} or launch the {{APP_NAME}} application.
2. Log in to your account.
3. Access the {{BOOKINGS_OPTION}} section.
4. Enter the necessary booking information or specific flight details.
5. Your baggage allowance details will be displayed.

For additional support, reach out to our customer care team via the {{APP_NAME}} app or visit {{WEBSITE_URL}} for more contact options.","Query: i hav to check the checked carry-on baggage allowance where can i do it
Response: To check your checked carry-on baggage allowance, please follow these instructions:

1. Visit the airline's website or launch the the mobile app application.
2. Log in to your account.
3. Access the Bookings section.
4. Enter the necessary booking information or specific flight details.
5. Your baggage allowance details will be displayed.

For additional support, reach out to our customer care team via the the mobile app app or visit the airline's website for more contact options."
I would like to know about my fucking checked carry-on baggage allowance,check_baggage_allowance,BAGGAGE,BLPW,"To find out your checked baggage allowance, please follow these detailed steps:

1. Visit {{WEBSITE_URL}} or launch the {{APP_NAME}} mobile application.
2. Log in to your personal account.
3. Locate and select the {{BOOKINGS_OPTION}} section.
4. Enter your flight details or booking reference.
5. Your baggage allowance details will be displayed on the screen.

Should you need any additional help, do not hesitate to contact our customer support via the {{APP_NAME}} app or by visiting {{WEBSITE_URL}}.","Query: I would like to know about my fucking checked carry-on baggage allowance
Response: To find out your checked baggage allowance, please follow these detailed steps:

1. Visit the airline's website or launch the the mobile app mobile application.
2. Log in to your personal account.
3. Locate and select the Bookings section.
4. Enter your flight details or booking reference.
5. Your baggage allowance details will be displayed on the screen.

Should you need any additional help, do not hesitate to contact our customer support via the the mobile app app or by visiting the airline's website."
